Region,Country,Year,Age,Gender,Literacy rate
Central and Southern Asia,Afghanistan,2011,<15,female,0.1761206
Central and Southern Asia,Afghanistan,2011,<15,male,0.454171
,Afghanistan,2011,15-24,female,0.3211322
,Afghanistan,2011,15-24,male,0.6187907
Central and Southern Asia,Afghanistan,2011,25-64,female,0.0841276
Central and Southern Asia,Afghanistan,2011,25-64,male,0.3779481
Central and Southern Asia,Afghanistan,2011,65+,female,0.1967049
Central and Southern Asia,Afghanistan,2018,<15,female,0.2980521
Central and Southern Asia,Afghanistan,2018,<15,male,0.5547545
Central and Southern Asia,Afghanistan,2018,15-24,female,0.5625475
Central and Southern Asia,Afghanistan,2018,15-24,male,0.740848
Central and Southern Asia,Afghanistan,2018,25-64,female,0.1433139
Central and Southern Asia,Afghanistan,2018,25-64,male,45.38%
Central and Southern Asia,Afghanistan,2018,65+,F,0.0347429
Central and Southern Asia,Afghanistan,2018,65+,male,0.2474501
Central and Southern Asia,Bangladesh,2011,<15,female,0.5511944
Central and Southern Asia,Bangladesh,2011,<15,male,0.6248306
Central and Southern Asia,Bangladesh,2011,15-24,female,0.7954449
Central and Southern Asia,Bangladesh,2011,15-24,female,0.7954449
Central and Southern Asia,Bangladesh,2011,15-24,male,0.764034
Central and Southern Asia,Bangladesh,2011,25-64,female,0.4806527
Central and Southern Asia,Bangladesh,2011,25-64,male,0.5854189
Central and Southern Asia,Bangladesh,2011,65+,female,0.1843055
Central and Southern Asia,Bangladesh,2011,65+,male,0.4150517
Central and Southern Asia,Bangladesh,2012,<15,female,0.5423604
Central and Southern Asia,Bangladesh,2012,<15,male,0.6154287
Central and Southern Asia,Bangladesh,2012,15-24,female,0.793692
Central and Southern Asia,Bangladesh,2012,15-24,male,0.7627631
Central and Southern Asia,Bangladesh,2012,25-64,female,0.4722051
Central and Southern Asia,Bangladesh,2012,25-64,male,0.5741008
Central and Southern Asia,Bangladesh,2012,65+,female,0.1408031
Central and Southern Asia,Bangladesh,2012,65+,male,0.3947338
Central and Southern Asia,Bangladesh,2013,<15,female,0.57789
Central and Southern Asia,Bangladesh,2013,<15,male,0.6421377
Central and Southern Asia,Bangladesh,2013,15-24,female,0.8692579
Central and Southern Asia,Bangladesh,2013,15-24,male,0.840945
Central and Southern Asia,Bangladesh,2013,25-64,female,0.4892493
Central and Southern Asia,Bangladesh,2013,25-64,male,0.5856812
Central and Southern Asia,Bangladesh,2013,65+,female,0.1530414
Central and Southern Asia,Bangladesh,2013,65+,female,0.1530414
Central and Southern Asia,Bangladesh,2013,65+,male,0.4008797
Central and Southern Asia,Bangladesh,2014,<15,female,0.5786093
Central and Southern Asia,Bangladesh,2014,<15,male,0.6436509
Central and Southern Asia,Bangladesh,2014,15-24,female,0.8648067
Central and Southern Asia,Bangladesh,2014,15-24,male,0.8462868
Central and Southern Asia,Bangladesh,2014,25-64,female,0.4988795
Central and Southern Asia,Bangladesh,2014,25-64,male,0.5874759
Central and Southern Asia,Bangladesh,2014,65+,female,0.228539
Central and Southern Asia,Bangladesh,2014,65+,male,0.4045049
Central and Southern Asia,Bangladesh,2015,<15,female,0.6225299
Central and Southern Asia,Bangladesh,2015,<15,male,0.6805536
Central and Southern Asia,Bangladesh,2015,15-24,female,0.8953506
Central and Southern Asia,Bangladesh,2015,15-24,male,0.8618795
Central and Southern Asia,Bangladesh,2015,25-64,female,0.551857
Central and Southern Asia,Bangladesh,2015,25-64,male,0.6363317
Central and Southern Asia,Bangladesh,2015,65+,female,0.1927993
Central and Southern Asia,Bangladesh,2015,65+,male,0.4282919
Central and Southern Asia,Bangladesh,2016,<15,female,0.6989721
Central and Southern Asia,Bangladesh,2016,<15,male,0.7561885
Central and Southern Asia,Bangladesh,2016,15-24,female,0.9353532
